Job Title,Company,Location,Skills,Salary Min,Salary Max,Posted Date,Apply URL,Description
Online Casino Game Tester,RG&amp;T Solutions,"New York, ","design, consulting, exec, customer support, testing, marketing, web dev, video, education, seo, content writing, senior, ops, sales, golang, medical, digital nomad, travel, finance, stats, engineer, shopify, speech, full time, part time, hr, c, legal, coordinator, dev, cloud, excel, sys admin, game dev",0,0,2026-07-03T23:47:10+00:00,https://remoteOK.com/remote-jobs/remote-online-casino-game-tester-rgampt-solutions-1134455,"Join a gambling technology company as a Website Tester across Michigan, New Jersey, Pennsylvania, and West Virginia. This flexible, short-term contract offers an opportunity to earn at least $1,000 for about 20 hours of testing, with a minimum of $25/hour and a $100 onboarding bonus. No prior experience is needed; training is provided.As a tester, you will participate in user experience testing on online casino platforms, follow instructions, report bugs, and provide feedback within deadlines. Requirements include being 21+, owning a computer, residing in one of the eligible states, and completing online training.Enjoy the benefits of working from home, flexible hours, fast payments, and ongoing support. This role is ideal for those seeking extra income and a convenient, remote testing opportunity.Please mention the word **RELENT** and tag RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY= when applying to show you read the job post completely (#RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Member of Marketing Staff,Slingshot,"New York, ","design, consulting, exec, customer support, testing, marketing, web dev, video, education, seo, content writing, senior, ops, sales, golang, medical, digital nomad, travel, finance, stats, engineer, shopify",0,0,2026-07-03T23:07:30+00:00,https://remoteOK.com/remote-jobs/remote-member-of-marketing-staff-slingshot-1134448,"Slingshot AISlingshot AI is the team behind Ash, the first AI designed for mental health. Our mission is to make support more accessible and help people change their lives in the ways they want.Weâre building a world-class team by empowering individuals with the autonomy, flexibility, and support they need to do their best work. We dream big, iterate fast, and care deeply. If that sounds like you, weâd love to hear from you.Our team spans machine learning, product, engineering, conversational design, clinical, growth, and operations, with offices in both New York City and London.We're a well-funded Series A company, having raised $93M from Andreessen Horowitz, Radical Ventures, Forerunner Ventures, plus top-tier tech investors involved in ElevenLabs, Captions, Shopify, Plaid, Notion, Canva, Twitch, Airtable, and many others.The RoleWeâre looking for someone to invent new ways for people to discover Ash. Ash is going from 0 to 1, and how we show up online will shape whether people trust us with something as personal as their mental health. We're looking for someone who lives at the intersection of content, social, and growth â a builder who can create things people want to share, and read the data to know what's actually working.This is a hands-on role. One day you're writing and shipping a social campaign; the next you're spinning up a growth experiment, testing a new channel, or turning a product moment into content that travels. Youâve built things people care about. Maybe thatâs a social audience. Maybe itâs a community, a newsletter, a creative project, or a brand. Whatever it is, youâve learned what earns attention and trust.A note on how we work: we love doing the work ourselves, so we can get good at it. You'll be hands-on across everything: making the content, running the experiment, pulling the numbers. A true jill (or jack) of all trades. You'll partner closely with our marketing team, our Head of Marketing, and our founders. You won't have a big team or a big playbook. We value moving quickly, learning fast, and out-of-the-box thinking. The right person comes up with an idea today and ships it today.What You'll DoCreate content that travels. Make social-first content across channels that earns attention and connects to how Ash shows up in the world. You know what works on each platform and why.Grow and test channels. Design fast experiments across social, organic, referral, and emerging channels. Use data to decide what deserves more investment.Connect brand to growth. Translate Ash's positioning and messaging into content and campaigns that both feel right and drive results.Turn moments into momentum. Take product launches and cultural moments and turn them into content and campaigns that build audience and demand.Read the numbers. Live in the analytics enough to know which content, channels, and experiments are actually moving the needle, and act on it fast.Build the audience. Grow Ash's presence across social from the ground up, with a feel for community, tone, and what makes people want to follow along.What We're Looking For3 to 5 years across social, content, growth, or creator-led marketing, ideally at an early-stage startup where you did everything with limited resourcesYou have strong creative judgment. You know when something feels original versus derivative, and you make work people remember (the creators I like really had that capability)You've grown an audience yourself; on your own channels or a brand's, and understand what makes content spreadStrong content and social instincts: you know what works on each platform and can make it yourselfGrowth-minded: you design clean experiments, read the data honestly, and kill what isn't workingBrand-fluent: you understand positioning and messaging, and keep your work consistent with how Ash shows up in the worldBuilder, not delegator: you've made the work yourself rather than managing agencies, and you prefer it that wayScrappy and self-directed: you run with ambiguity and ship with incomplete informationConsumer experience strongly preferred (consumer app, CPG, or consumer health); creator or culture-native backgrounds welcomeExcited to build in mental health, with the judgment and care the category demandsWhy This RoleYou'll shape how a new kind of brand shows up in culture; grounded in how people actually feel, not just what they do or buy. You'll get the creative canvas of a true 0 to 1 and the data to know what's working, with the resources of a well-funded company behind you.What We OfferA chance to join a passionate tight-knit team working on something to change the worldCompetitive compensation (top of personal market)Travel between our NYC / London officesUsual startup perks like free lunch and coffee in office + generous learning budgetWe cover your personal therapyPlease mention the word **SPEEDY** and tag RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY= when applying to show you read the job post completely (#RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
All Positions,Tamworth Regional Council,"Tamworth, ",Not Specified,0,0,2026-07-03T22:24:17+00:00,https://remoteOK.com/remote-jobs/remote-all-positions-tamworth-regional-council-1134462,View the jobsboard for our vacancies: https://www.ezisuite.net/eziJob/tamworth/HRRegistry/default.cfmPlease mention the word **ASSURING** and tag RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY= when applying to show you read the job post completely (#RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.
Manager HR Business Partner,LinkedIn,"Mountain View, Mountain View, California, United States","design, consulting, exec, customer support, testing, marketing, web dev, video, education, seo, content writing, senior, ops, sales, golang, medical, digital nomad, travel, finance, stats, engineer, shopify, speech, full time, part time, hr, c, legal",0,0,2026-07-03T21:19:00+00:00,https://remoteOK.com/remote-jobs/remote-manager-hr-business-partner-linkedin-1134451,"LinkedIn is the world's largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. We're also committed to providing transformational opportunities for our own employees by investing in their growth. We aspire to create a culture that's built on trust, care, inclusion, and fun â where everyone can succeed.Join us to transform the way the world works.Job DescriptionAt LinkedIn, our approach to flexible work is centered on trust and optimized for culture, connection, clarity, and the evolving needs of our business. This role may be remote or hybrid. At LinkedIn, hybrid roles are performed both from home and from a LinkedIn office on select days, as determined by the business needs of the team. Remote roles are performed from the designated home work location upon time of hire, and any changes to this home work location requires a review of remote status and approval. This role can be based in San Francisco, Mountain View, Chicago or New York.The Seniorâ¯Manager, HRBP Consulting and Solutions (C&amp;S) Behavior Management role, will lead a team of HR Business Partners responsible for advising and consulting people leaders on employee conduct, workplace behavior, and disciplinary and sensitive employee matters. The role ensures consistent, fair, and compliant resolution of employee concerns while enabling people leaders to make confident, timely people decisions.  The Senior Manager serves as a trusted partner to HR, Legal, Employee Relations, Compliance, and business leaders, driving operational excellence, risk mitigation, manager capability, and a positive employee experience. This leader balances sound judgment with business pragmatism, helping scale a high-quality HR partnership model across regions and functions.  The Senior Manager will report to the Sr Director, Consulting &amp; Solutions and lead a team of HRBPs focused on behavior management. The successful candidate willâ¯haveâ¯strong HR business partnering experience, be driven and self-directed,â¯have strongâ¯managementâ¯capability,â¯andâ¯demonstrate operational excellence.â¯â¯  Responsibilities:â¯â¯ Lead and Develop a Team of HR Business Partners Hire, coach, develop, and support a team of HR Business Partners specializing in behavior management. Establish a culture of accountability, inclusion, collaboration, and continuous learning. Provide guidance on complex and sensitive employee situations requiring escalated judgment. Drive consistency in decision-making, documentation, and case management practices across the team. Calibrate recommendations and outcomes to ensure fair, consistent, and equitable treatment. Provide Strategic Consultation on Behavior and Conduct Matters Serve as the escalation point for high-risk or complex behavior, conduct, and disciplinary cases. Ensure team is appropriately partnering with leaders to address concerns related to workplace behavior, policy adherence, interpersonal conflict, and team effectiveness. Ensure alignment between business needs, company values, risk mitigation, and employee experience considerations. Drive Manager Effectiveness Build manager capability through teamâs coaching, consultation, and scalable guidance. Identify patterns and recurring challenges impacting manager effectiveness and organizational health. Develop frameworks, training, and best practices that improve leadership decision-making. Enable leaders to navigate employee issues with confidence while maintaining fairness and consistency. Risk Management and Compliance Ensure all employee matters are handled in accordance with company policy, employment law, and regional requirements. Partner closely with Legal, Employee Relations, Compliance, and Functional HRBPs on sensitive matters. Monitor risk trends and proactively recommend actions to mitigate organizational exposure. Maintain high standards of confidentiality and professionalism. Operational Excellence Establish and continuously improve case management processes, service delivery standards, and team operating rhythms. Leverage data and reporting to identify trends, drive insights, influence HR initiatives, and improve outcomes. Monitor team capacity, service levels, and quality standards. Drive consistency across regions while balancing local employment law and cultural considerations. Cross-Functional Partnership Build strong, collaborative partnerships with HRBPs, Legal, Employee Relations, Compliance, and HR Operations teams. Contribute expertise to organization-wide talent, culture, and workforce initiatives. QualificationsBasic Qualifications:â¯ 10+ years of progressive Human Resources experienceâ¯requiredâ¯with significant focus on manager consulting and performance and behavior management. 3+ years experience supporting global organizations in a centralized HRBP or shared services model Preferred Qualifications:â¯ 3+â¯years of direct people management experienceâ¯or equivalentâ¯â¯ Strong knowledge of employment law and HR practices across multiple geographies Ability to exercise sound judgment in ambiguous and sensitive situations. Ability to manage, coach, mentor and motivate a diverse global team while ensuring team and individual accountability and performance standards areâ¯metâ¯â¯ Experience implementing HR and operational programs andâ¯strategies Background and familiarity with HR functional areasâ¯ Ability to prioritize, multitask and manage multiple projects successfully in a fast-paced and dynamicâ¯environmentâ¯ Strong attention to detail and commitment to delivery of quality/accurate work productsâ¯ Logical reasoning, analytical, and problem-solving skills to troubleshoot and overcomeâ¯challengesâ¯ Experience working in a highly-matrix and global organization and knows how to collaborate effectively with multiple stakeholders Proven leadership experience, with the maturity and ability to influence stakeholders and gain buy-in Outstanding interpersonal and communication skills, both verbal and written  Suggested Skills:Behavior ManagementPeople LeadershipCross Functional CollaborationRisk MitigationStrategic HR Partnership LinkedIn is committed to fair and equitable compensation practices.The pay range for this role is $144,000 to $234,000. Actual compensation packages are based on several factors that are unique to each candidate, including but not limited to skill set, depth of experience, certifications, and specific work location. This may be different in other locations due to differences in the cost of labor. The total compensation package for this position may also include annual performance bonus, stock, benefits and/or other applicable incentive compensation plans. For more information, visit https://careers.linkedin.com/benefits.Additional InformationEqual Opportunity Statement We seek candidates with a wide range of perspectives and backgrounds and we are proud to be an equal opportunity employer. LinkedIn considers qualified applicants without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, marital status, pregnancy, sex, gender expression or identity, sexual orientation, citizenship, or any other legally protected class.LinkedIn is committed to offering an inclusive and accessible experience for all job seekers, including individuals with disabilities. Our goal is to foster an inclusive and accessible workplace where everyone has the opportunity to be successful.If you need a Reasonable Accommodation to search for a job opening, apply for a position, or participate in the interview process, connect with us and describe the specific Accommodation requested for a disability-related limitation.Fill out an Accommodation request here: https://app.smartsheet.com/b/form/b660a0327d044969abfd7a4e73d15c36Reasonable accommodations are modifications or adjustments to the application or hiring process that would enable you to fully participate in that process. Examples of reasonable accommodations include but are not limited to:Documents in alternate formats or read aloud to youHaving interviews in an accessible locationBeing accompanied by a service dogHaving a sign language interpreter present for the interviewA request for an accommodation will be responded to within three business days. However, non-disability related requests, such as following up on an application, will not receive a response.LinkedIn will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by LinkedIn, or (c) consistent with LinkedIn's legal duty to furnish information.San Francisco Fair Chance Ordinance Pursuant to the San Francisco Fair Chance Ordinance, LinkedIn will consider for employment qualified applicants with arrest and conviction records.Pay Transparency Policy Statement As a federal contractor, LinkedIn follows the Pay Transparency and non-discrimination provisions described at this link: https://lnkd.in/paytransparency.Global Data Privacy Notice and Compliance Posters for Job Candidates Please use this link to access documents that provide information about how LinkedIn handles the personal data of employees and job applicants, as well as the E-Verify Participation Notice and the Department of Justice Immigrant and Employee Rights Section Right to Work posters: https://www.linkedin.com/legal/candidate-portal.Please mention the word **SPLENDIDLY** and tag RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY= when applying to show you read the job post completely (#RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Business Analyst,Blockchain.com,"New York, New York, United States","design, consulting, exec, customer support, testing, marketing, web dev, video, education, seo, content writing, senior, ops, sales, golang, medical, digital nomad, travel, finance, stats, engineer, shopify, speech, full time, part time, hr, c, legal, coordinator, dev, cloud, excel, sys admin, game dev, english teacher, teaching, linguistics, analyst, crypto, controller, recruiter",0,0,2026-07-03T20:53:35+00:00,https://remoteOK.com/remote-jobs/remote-business-analyst-blockchain-com-1134457,"Blockchain is connecting the world to the future of finance. As the most trusted and fastest-growing global crypto company, it helps millions of people worldwide safely access cryptocurrency. Since its inception in 2011, Blockchain has earned the trust of over 90 million wallet holders and more than 40 million verified users, facilitating over $1 trillion in crypto transactions.Blockchain.com is looking for a Business Analyst to support strategic products, markets, and customer segments within the Consumer business.This is a high-impact analytical and product-oriented role focused on business performance, growth opportunities, customer insights, product execution, and operational excellence. You will work closely with Business Leads, Product, Engineering, Trading, Risk, Compliance, Marketing, Finance, and Regional teams to help identify opportunities, shape product priorities, build business cases, track performance, and support the launch of new initiatives.WHAT YOU WILL DOSupport the strategy, roadmap, and commercial performance of key business areas within Consumer.Analyze business performance across users, activity, revenue, margin, retention, volume, conversion, and P&amp;L.Work with Business Leads and Product Managers to identify product opportunities, define problem statements, and support prioritization.Translate business goals, customer insights, and data analysis into clear product recommendations.Build dashboards, reports, and analysis to help teams understand performance, diagnose issues, and identify opportunities.Support business cases for new products, features, markets, or customer propositions, including market size, customer demand, economics, operational requirements, and risk.Partner with Product and Engineering to help define requirements, clarify trade-offs, and support delivery of customer-facing features.Support product launches by coordinating inputs across Product, Engineering, Marketing, CRM, Growth, Compliance, Operations, and Regional teams.Work with Trading, Treasury, Risk, Finance, and Compliance to analyze pricing, economics, risk controls, and profitability.Track competitors, customer behavior, and market trends to identify opportunities to differentiate and win share.Help establish a clear operating cadence around performance tracking, experimentation, launches, product reviews, and business reviews.WHAT YOU WILL NEEDExperience in business analysis, product analytics, product operations, strategy, growth, fintech, crypto, payments, consulting, or consumer technology.Strong analytical skills and comfort working with data, business modeling, funnels, unit economics, pricing, conversion, retention, and profitability.Ability to turn data, customer insights, and business problems into clear product recommendations.Strong product judgment and strong interest in building customer-facing products.Ability to work closely with Product and Engineering teams, including helping define requirements, prioritize opportunities, and support execution.Strong communication skills and ability to present findings clearly to cross-functional stakeholders.Comfort operating in a fast-moving, ambiguous environment.High ownership, attention to detail, and willingness to work across both strategic analysis and hands-on product execution.Interest in crypto, fintech, consumer products, and high-growth businesses.COMPENSATION &amp; PERKSFull-time salary based on experience and meaningful equity in an industry-leading companyHybrid model (remote &amp; on-site setup is mandatory) Unlimited vacation policy; work hard and take time when you need itApple equipmentThe opportunity to be a key player and build your career at a rapidly expanding, global technology company in an emerging fieldFlexible work culture Blockchain is committed to diversity and inclusion in the workplace and is proud to be an equal opportunity employer. We prohibit discrimination and harassment of any kind based on race, religion, color, national origin, gender, gender expression, sex, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law. This policy applies to all employment practices within our organization, including hiring, recruiting, promotion, termination, layoff, recall, leave of absence, and apprenticeship. Blockchain makes hiring decisions based solely on qualifications, merit, and business needs at the time.You may contact our Data Protection Officer by email at dpo@blockchain.com. Your personal data will be processed for the purposes of managing Controllerâs recruitment related activities, which include setting up and conducting interviews and tests for applicants, evaluating and assessing the results thereto, and as is otherwise needed in the recruitment and hiring processes. Such processing is legally permissible under Art. 6(1)(f) of Regulation (EU) 2016/679 (General Data Protection Regulation) as necessary for the purposes of the legitimate interests pursued by the Controller, which are the solicitation, evaluation, and selection of applicants for employment.Your personal data will be shared with Greenhouse Software, Inc., a cloud services provider located in the United States of America and engaged by Controller to help manage its recruitment and hiring process on Controllerâs behalf. Accordingly, if you are located outside of the United States, your personal data will be transferred to the United States once you submit it through this site. Because the European Union Commission has determined that United States data privacy laws do not ensure an adequate level of protection for personal data collected from EU data subjects, the transfer will be subject to appropriate additional safeguards under the standard contractual clauses. Your personal data will be retained by Controller as long as Controller determines it is necessary to evaluate your application for employment. Under the GDPR, you have the right to request access to your personal data, to request that your personal data be rectified or erased, and to request that processing of your personal data be restricted. You also have the right to data portability. In addition, you may lodge a complaint with an EU supervisory authority.Please mention the word **FRUITFUL** and tag RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY= when applying to show you read the job post completely (#RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Special Services Associate AIRDRIE,The Home Depot Canada,"Airdrie, ",Not Specified,0,0,2026-07-03T19:03:08+00:00,https://remoteOK.com/remote-jobs/remote-special-services-associate-airdrie-the-home-depot-canada-1134446,"Are you someone who thrives on helping others succeed, enjoys making an impact, and takes pride in guiding customers to the right solutions for their projects? If youâre also naturally curious and eager to keep learning, consider starting or growing your career with us at The Home Depot.Please mention the word **RAPTUREOUSLY** and tag RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY= when applying to show you read the job post completely (#RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
f,Ajax Systems,"Greater Uzhgorod Area, ","customer support, recruiter",0,0,2026-07-03T17:41:29+00:00,https://remoteOK.com/remote-jobs/remote-f-ajax-systems-1134445,"We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses and identifying potential inconsistencies or verification signals in application materials based on available information. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.Please mention the word **IMPARTIALLY** and tag RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY= when applying to show you read the job post completely (#RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Senior Quality Engineer,Tellent,Remote,"design, graphql, hr, sys admin, technical, customer support, dev, testing, web dev, quality assurance, api, exec, senior, medical, engineer, recruiter, backend, digital nomad",200000,225000,2026-07-03T16:00:13+00:00,https://remoteOK.com/remote-jobs/remote-senior-quality-engineer-tellent-1134436,"About the RoleAs a Senior Quality Engineer you'll own and grow the quality of Tellent HR alongside our existing QE team. You'll drive our test automation strategy, expand end-to-end coverage in Playwright, and raise the bar for backend testing. This is a hands-on collaborative role with genuine ownership, direct impact on product development and the experience of our customers.Your 12-Month JourneyDuring your first 3 months: You'll get to know Tellent HR, our engineering practices, and our quality standards. You'll learn our testing framework and development workflow while gradually contributing to automated and exploratory testing.Within 6 months: You'll take ownership of quality for parts of the product, expand our Playwright test coverage and work closely with engineers to build quality into every stage of development.After 1 year: You'll be a trusted quality partner within the team, driving improvements to our testing strategy, raising the bar for automation, and helping shape how we approach quality as Tellent HR continues to grow.What Youâll Be DoingWork closely with our other QEâs to help bring our test automation strategy to life across Tellent HR, taking joint ownership and maintaining a significant part of it as it grows.Partner with developers and fellow QEâs to embed quality early, sharing domain knowledge in both directions and shaping testing practices collaboratively.Design and execute comprehensive test plans, test cases, and test scripts to ensure software accuracy and functionalityDevelop into a product domain expert using that understanding to test, spot risks earlier and guide quality decisions across Tellent HRWhat You BringStrong QA experience: Several years of hands-on quality engineering, with senior-level ownership of testing for complex web applications.E2E automation: Experience building and maintaining end-to-end test suites in PlaywrightAPI &amp; backend testing skills: Proficiency testing GraphQL APIs and backend servicesBalance of product and technical thinking: Equally at home discussing product behaviour and digging into technical detail.Communication: Fluent English and Polish for daily collaboration.What We OfferPrimarily remote working with flexibility and opportunities to connect with the teamDiverse and international team environmentAnnual compensation range: 200000-225000 PLN/year (+ VAT where applicable)Time off based on contract type:B2B: 30 paid break daysEmployment contract: 26 paid holiday days + 2 wellbeing daysâ¬1500 annual learning budgetWellness perks including Multisport and private healthcare (LuxMed)Work from anywhere for up to 4 weeks per yearApple MacBook, displays, and all the tools you need to succeedâ¬200 home office budget + work-from-home allowanceAbout TellentTellent is a leading Talent Management Suite designed to empower HR &amp; People teams across the entire employee journey. Our all-in-one platform combines an Applicant Tracking System (Tellent Recruitee), an intuitive HRIS (Tellent HR), and powerful Performance Management software (Tellent Grow).With 250+ team members globally, 7,000+ customers in 100+ countries, and a growing ecosystem of 500+ partners, we help organizations attract, grow, and retain top talent â and weâre just getting started.AI in our recruitment processWe use our internally developed AI tools to help streamline our recruitment process. However, technology never makes a decision. Every candidate is personally reviewed by our team. Your journey with us is guided by people, supported by tech. Curious about how it works? Read ourÂ AI Statement, check ourÂ Privacy Policy, or chat with us atÂ hr@tellent.com.If you require accommodations or support during the recruitment process, please let us know â weâre happy to help.Please mention the word **LUCID** and tag RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY= when applying to show you read the job post completely (#RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Buyer I,Jabil,"New Delhi, New Delhi, Delhi, India","sys admin, infosec, education, supervisor, customer support, dev, finance, exec, medical, digital nomad",0,0,2026-07-03T14:10:31+00:00,https://remoteOK.com/remote-jobs/remote-buyer-i-jabil-1134489,"Job SummaryProcure all components necessary to support production or prototype builds. In conjunction, responsibilities include; accomplishing the best possible pricing, lead time agreements, resolution of quality issues, delivery and inventory levels.Essential Duties And Responsibilities Participate in decision making of MPS loading through proper materials sizing.  Analyze, maintain, and execute Materials Requirement Plan (MRP). Continuously monitor and verify materials pipeline to ensure it meets the MRP requirements. Identify and appropriately address materials supply issues.  Ensure materials availability to support production per the Master Production Schedule through MRP execution, on-time delivery, and coordination of materials movement through receiving to production.  Proactively eliminate materials liabilities for Jabil by clearly understanding the ownership (supplier / customer). Track and provide supporting data to BUM in order to clearly define customer liable materials. Execute and maximize Jabil negotiated terms with suppliers to reduce materials liability.  Issue Purchase Orders to pricing, terms &amp; conditions that are negotiated and agreed to by Jabil Commodity Managers and Buyers. Ensure suppliersâ adherence to established agreements.  Optimize order management process to ensure effective communication with suppliers.  Maintain integrity of master data and purchasing planning parameters in order to minimize material liability and to balance the cost of procurement with inventory investment levels.  Monitor and continuously improve supplierâs delivery and quality performance. Address and resolve recurring or critical issues by utilizing corrective action tools and additional resources.  Support Accounts Payable in resolving invoice discrepancies.  Provide inputs to drive and execute Jabilâs commodity and pricing strategy. Work closely with Buyers, Commodity Managers, &amp; SCM. Provide feedback on supplier performance and Jabilâs strategies.  Minimize materials freight expenses for Jabil.  Monitor, track, and provide feedback on suppliersâ performance on delivery, quality, and service.  Adhere to all safety and health rules and regulations associated with this position and as directed by supervisor.  Comply and follow all procedures within the company security policy.  May perform other duties and responsibilities as assigned. Job QualificationsKNOWLEDGE REQUIREMENTS Ability to calculate figures and amounts such as discounts, interest, commissions, proportions, percentages, area, circumference, and volume.  Ability to apply concepts of basic algebra and geometry.  Ability to effectively present information and respond to questions from groups of managers, clients, customers, and the general public.  Ability to define problems, collect data, establish facts, and draw valid conclusions.  Ability to operate a personal computer including using a Windows based operating system and related software.  Advanced PC skills, including training and knowledge of Jabilâs software packages.  Ability to write simple correspondence. Read and understand visual aid.  Ability to apply common sense understanding to carry out simple one- or two-step instructions.  Ability to deal with standardized situations with only occasional or no variables.  Ability to read and comprehend simple instructions, short correspondence, and memos.  Ability to add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions, and decimals.  Ability to compute rate, ratio, and percent and to draw and interpret graphs. , BE AWARE OF FRAUD: When applying for a job at Jabil you will be contacted via correspondence through our official job portal with a jabil.com e-mail address; direct phone call from a member of the Jabil team; or direct e-mail with a jabil.com e-mail address. Jabil does not request payments for interviews or at any other point during the hiring process. Jabil will not ask for your personal identifying information such as a social security number, birth certificate, financial institution, driverâs license number or passport information over the phone or via e-mail. If you believe you are a victim of identity theft, contact your local police department. Any scam job listings should be reported to whatever website it was posted in.Please mention the word **PRODIGY** and tag RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY= when applying to show you read the job post completely (#RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
Watch Clerk,City of Campbell River,"Campbell River, ","analyst, exec, recruiter, education, customer support",0,0,2026-07-03T12:48:22+00:00,https://remoteOK.com/remote-jobs/remote-watch-clerk-city-of-campbell-river-1134493,"OrganizationCity of Campbell RiverRegionBritish ColumbiaApplication DeadlineJuly 26, 2026TypePermanent Full TimeCategoryPolice servicesTwitter Facebook Linkedin Send Save PrintDescription Click here to view full screenContactEmail: careers@campbellriver.ca From the same organizationBylaw Enforcement Officer - City of Campbell River19 Jul, 2026Client Support Analyst - City of Campbell River7 Jul, 2026Please mention the word **BOLSTER** and tag RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY= when applying to show you read the job post completely (#RMjQwMjplMjgwOjIxYjA6NWQ0OjNjNzU6NDVkYjo4ZTA0OjgwZmY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
